TrackName,F1Driver,F1Team,F1Time,F1Year,GT3Driver,GT3Team,GT3Time,GT3Year
Autodromo Nazionale Monza,Oscar Piastri,McLaren Formula 1 Team,1:19.958,2025,Raffaele Marciello,AKKA ASP Team (Mercedes-AMG GT3),1:50.234,2024
Circuit de Spa-Francorchamps,Oscar Piastri,McLaren Formula 1 Team,1:40.510,2025,Franck Perera,Grasser Racing Team (Lamborghini Huracán GT3),2:13.718,2024
Nürburgring Grand Prix Strecke,Valtteri Bottas,Mercedes-AMG Petronas Formula One Team,1:25.269,2020,Kévin Estre / Preining / Güven,Manthey EMA (Porsche 911 GT3 R),8:12.741,2025
Red Bull Ring,Lando Norris,McLaren Formula 1 Team,1:03.971,2025,Jürgen Alzen,H&R Spezialfedern Team (BMW M4 GT3),1:27.272,2025
Silverstone Circuit,Lewis Hamilton,Mercedes-AMG Petronas Formula One Team,1:24.303,2020,James Baldwin,McLaren 720S GT3 (British GT),2:00.123,2020
Circuit de Barcelona-Catalunya,Lewis Hamilton,Mercedes-AMG Petronas Formula One Team,1:16.741,2021,Raffaele Marciello,AKKA ASP Team (Mercedes-AMG GT3),1:45.678,2021
Circuit Paul Ricard,Charles Leclerc,Scuderia Ferrari,1:30.872,2022,Dries Vanthoor,Audi Sport Team WRT (Audi R8 LMS GT3),1:53.456,2022
Autodromo Enzo e Dino Ferrari (Imola),Max Verstappen,Red Bull Racing,1:27.999,2022,Andrea Caldarelli,Grasser Racing Team (Lamborghini Huracán GT3),1:41.234,2022
Suzuka International Racing Course,Lewis Hamilton,Mercedes-AMG Petronas Formula One Team,1:27.319,2019,Nick Cassidy,Lexus Team KeePer TOM'S (GT3-spec),1:45.876,2019
Hockenheimring Baden-Württemberg,Lewis Hamilton,Mercedes-AMG Petronas Formula One Team,1:11.212,2018,Kelvin van der Linde,Audi Sport Team WRT (Audi R8 LMS GT3),1:38.456,2018
